rep,group,setting,accuracy
36,Iterations,$T=8$,0.658
36,Projection,"$(8,8)$",0.67
36,Projection,"$(12,12)$",0.658
36,Projection,"$(16,16)$",0.662
36,Shrinkage,"$(0.7,0.7)$",0.658
36,Shrinkage,"$(0.5,0.9)$",0.676
36,Shrinkage,"$(0.9,0.5)$",0.608
37,Iterations,$T=1$,0.618
37,Iterations,$T=3$,0.62
37,Iterations,$T=8$,0.62
37,Projection,"$(8,8)$",0.636
37,Projection,"$(12,12)$",0.62
37,Projection,"$(16,16)$",0.634
37,Shrinkage,"$(0.7,0.7)$",0.62
37,Shrinkage,"$(0.5,0.9)$",0.69
37,Shrinkage,"$(0.9,0.5)$",0.558
38,Iterations,$T=1$,0.592
38,Iterations,$T=3$,0.596
38,Iterations,$T=8$,0.596
38,Projection,"$(8,8)$",0.598
38,Projection,"$(12,12)$",0.596
38,Projection,"$(16,16)$",0.59
38,Shrinkage,"$(0.7,0.7)$",0.596
38,Shrinkage,"$(0.5,0.9)$",0.626
38,Shrinkage,"$(0.9,0.5)$",0.548
39,Iterations,$T=1$,0.604
39,Iterations,$T=3$,0.606
39,Iterations,$T=8$,0.606
39,Projection,"$(8,8)$",0.614
39,Projection,"$(12,12)$",0.606
39,Projection,"$(16,16)$",0.608
39,Shrinkage,"$(0.7,0.7)$",0.606
39,Shrinkage,"$(0.5,0.9)$",0.632
39,Shrinkage,"$(0.9,0.5)$",0.544
40,Iterations,$T=1$,0.614
40,Iterations,$T=3$,0.62
40,Iterations,$T=8$,0.62
40,Projection,"$(8,8)$",0.618
40,Projection,"$(12,12)$",0.62
40,Projection,"$(16,16)$",0.614
40,Shrinkage,"$(0.7,0.7)$",0.62
40,Shrinkage,"$(0.5,0.9)$",0.622
40,Shrinkage,"$(0.9,0.5)$",0.538
41,Iterations,$T=1$,0.666
41,Iterations,$T=3$,0.662
41,Iterations,$T=8$,0.662
41,Projection,"$(8,8)$",0.68
41,Projection,"$(12,12)$",0.662
41,Projection,"$(16,16)$",0.66
41,Shrinkage,"$(0.7,0.7)$",0.662
41,Shrinkage,"$(0.5,0.9)$",0.666
41,Shrinkage,"$(0.9,0.5)$",0.61
42,Iterations,$T=1$,0.678
42,Iterations,$T=3$,0.672
42,Iterations,$T=8$,0.672
42,Projection,"$(8,8)$",0.692
42,Projection,"$(12,12)$",0.672
42,Projection,"$(16,16)$",0.668
42,Shrinkage,"$(0.7,0.7)$",0.672
42,Shrinkage,"$(0.5,0.9)$",0.678
42,Shrinkage,"$(0.9,0.5)$",0.638
43,Iterations,$T=1$,0.564
43,Iterations,$T=3$,0.564
43,Iterations,$T=8$,0.564
43,Projection,"$(8,8)$",0.556
43,Projection,"$(12,12)$",0.564
43,Projection,"$(16,16)$",0.58
43,Shrinkage,"$(0.7,0.7)$",0.564
43,Shrinkage,"$(0.5,0.9)$",0.6
43,Shrinkage,"$(0.9,0.5)$",0.49
44,Iterations,$T=1$,0.566
44,Iterations,$T=3$,0.57
44,Iterations,$T=8$,0.57
44,Projection,"$(8,8)$",0.572
44,Projection,"$(12,12)$",0.57
44,Projection,"$(16,16)$",0.574
44,Shrinkage,"$(0.7,0.7)$",0.57
44,Shrinkage,"$(0.5,0.9)$",0.58
44,Shrinkage,"$(0.9,0.5)$",0.522
45,Iterations,$T=1$,0.716
45,Iterations,$T=3$,0.716
45,Iterations,$T=8$,0.716
45,Projection,"$(8,8)$",0.712
45,Projection,"$(12,12)$",0.716
45,Projection,"$(16,16)$",0.708
45,Shrinkage,"$(0.7,0.7)$",0.716
45,Shrinkage,"$(0.5,0.9)$",0.72
45,Shrinkage,"$(0.9,0.5)$",0.67
46,Iterations,$T=1$,0.598
46,Iterations,$T=3$,0.598
46,Iterations,$T=8$,0.598
46,Projection,"$(8,8)$",0.616
46,Projection,"$(12,12)$",0.598
46,Projection,"$(16,16)$",0.61
46,Shrinkage,"$(0.7,0.7)$",0.598
46,Shrinkage,"$(0.5,0.9)$",0.626
46,Shrinkage,"$(0.9,0.5)$",0.562
47,Iterations,$T=1$,0.604
47,Iterations,$T=3$,0.606
47,Iterations,$T=8$,0.606
47,Projection,"$(8,8)$",0.62
47,Projection,"$(12,12)$",0.606
