dataset,shots,rep,method,accuracy
Digits,3,37,Nearest centroid,0.836
Digits,3,37,Ridge,0.68
Digits,3,37,Shrinkage LDA,0.744
Digits,3,38,L-2DLDA+,0.79
Digits,3,38,DATER-reg,0.798
Digits,3,38,MPCA,0.802
Digits,3,38,2DLDA,0.802
Digits,3,38,Nearest centroid,0.802
Digits,3,38,Ridge,0.682
Digits,3,38,Shrinkage LDA,0.72
Digits,3,39,L-2DLDA+,0.802
Digits,3,39,DATER-reg,0.794
Digits,3,39,MPCA,0.792
Digits,3,39,2DLDA,0.792
Digits,3,39,Nearest centroid,0.792
Digits,3,39,Ridge,0.638
Digits,3,39,Shrinkage LDA,0.792
Digits,3,40,L-2DLDA+,0.786
Digits,3,40,DATER-reg,0.776
Digits,3,40,MPCA,0.786
Digits,3,40,2DLDA,0.786
Digits,3,40,Nearest centroid,0.786
Digits,3,40,Ridge,0.634
Digits,3,40,Shrinkage LDA,0.752
Digits,3,41,L-2DLDA+,0.79
Digits,3,41,DATER-reg,0.8
Digits,3,41,MPCA,0.798
Digits,3,41,2DLDA,0.798
Digits,3,41,Nearest centroid,0.798
Digits,3,41,Ridge,0.702
Digits,3,41,Shrinkage LDA,0.784
Digits,3,42,L-2DLDA+,0.796
Digits,3,42,DATER-reg,0.796
Digits,3,42,MPCA,0.794
Digits,3,42,2DLDA,0.794
Digits,3,42,Nearest centroid,0.794
Digits,3,42,Ridge,0.63
Digits,3,42,Shrinkage LDA,0.718
Digits,3,43,L-2DLDA+,0.85
Digits,3,43,DATER-reg,0.842
Digits,3,43,MPCA,0.842
Digits,3,43,2DLDA,0.842
Digits,3,43,Nearest centroid,0.842
Digits,3,43,Ridge,0.702
Digits,3,43,Shrinkage LDA,0.708
Digits,3,44,L-2DLDA+,0.768
Digits,3,44,DATER-reg,0.758
Digits,3,44,MPCA,0.764
Digits,3,44,2DLDA,0.764
Digits,3,44,Nearest centroid,0.764
Digits,3,44,Ridge,0.542
Digits,3,44,Shrinkage LDA,0.584
Digits,3,45,L-2DLDA+,0.758
Digits,3,45,DATER-reg,0.764
Digits,3,45,MPCA,0.76
Digits,3,45,2DLDA,0.76
Digits,3,45,Nearest centroid,0.76
Digits,3,45,Ridge,0.684
Digits,3,45,Shrinkage LDA,0.762
Digits,3,46,L-2DLDA+,0.73
Digits,3,46,DATER-reg,0.72
Digits,3,46,MPCA,0.714
Digits,3,46,2DLDA,0.714
Digits,3,46,Nearest centroid,0.714
Digits,3,46,Ridge,0.6
Digits,3,46,Shrinkage LDA,0.646
Digits,3,47,L-2DLDA+,0.808
Digits,3,47,DATER-reg,0.816
Digits,3,47,MPCA,0.81
Digits,3,47,2DLDA,0.81
Digits,3,47,Nearest centroid,0.81
Digits,3,47,Ridge,0.662
Digits,3,47,Shrinkage LDA,0.768
Digits,3,48,L-2DLDA+,0.862
Digits,3,48,DATER-reg,0.854
Digits,3,48,MPCA,0.852
Digits,3,48,2DLDA,0.852
Digits,3,48,Nearest centroid,0.852
Digits,3,48,Ridge,0.69
Digits,3,48,Shrinkage LDA,0.74
Digits,3,49,L-2DLDA+,0.79
Digits,3,49,DATER-reg,0.792
Digits,3,49,MPCA,0.8
Digits,3,49,2DLDA,0.8
Digits,3,49,Nearest centroid,0.8
Digits,3,49,Ridge,0.67
Digits,3,49,Shrinkage LDA,0.71
Digits,5,0,L-2DLDA+,0.856
Digits,5,0,DATER-reg,0.862
Digits,5,0,MPCA,0.856
Digits,5,0,2DLDA,0.856
Digits,5,0,Nearest centroid,0.856
Digits,5,0,Ridge,0.72
Digits,5,0,Shrinkage LDA,0.846
Digits,5,1,L-2DLDA+,0.832
Digits,5,1,DATER-reg,0.836
Digits,5,1,MPCA,0.836
Digits,5,1,2DLDA,0.836
Digits,5,1,Nearest centroid,0.836
Digits,5,1,Ridge,0.648
Digits,5,1,Shrinkage LDA,0.804
Digits,5,2,L-2DLDA+,0.818
Digits,5,2,DATER-reg,0.786
Digits,5,2,MPCA,0.794
Digits,5,2,2DLDA,0.794
Digits,5,2,Nearest centroid,0.794
Digits,5,2,Ridge,0.62
Digits,5,2,Shrinkage LDA,0.762
Digits,5,3,L-2DLDA+,0.816
Digits,5,3,DATER-reg,0.806
Digits,5,3,MPCA,0.8
Digits,5,3,2DLDA,0.8
Digits,5,3,Nearest centroid,0.8
Digits,5,3,Ridge,0.692
Digits,5,3,Shrinkage LDA,0.812
Digits,5,4,L-2DLDA+,0.844
Digits,5,4,DATER-reg,0.848
Digits,5,4,MPCA,0.836
Digits,5,4,2DLDA,0.836
Digits,5,4,Nearest centroid,0.836
Digits,5,4,Ridge,0.74
Digits,5,4,Shrinkage LDA,0.864
Digits,5,5,L-2DLDA+,0.858
Digits,5,5,DATER-reg,0.856
Digits,5,5,MPCA,0.854
Digits,5,5,2DLDA,0.854
Digits,5,5,Nearest centroid,0.854
Digits,5,5,Ridge,0.682
Digits,5,5,Shrinkage LDA,0.852
Digits,5,6,L-2DLDA+,0.856
Digits,5,6,DATER-reg,0.87
Digits,5,6,MPCA,0.866
Digits,5,6,2DLDA,0.866
Digits,5,6,Nearest centroid,0.866
Digits,5,6,Ridge,0.764
Digits,5,6,Shrinkage LDA,0.872
Digits,5,7,L-2DLDA+,0.84
Digits,5,7,DATER-reg,0.818
Digits,5,7,MPCA,0.822
Digits,5,7,2DLDA,0.822
Digits,5,7,Nearest centroid,0.822
Digits,5,7,Ridge,0.664
Digits,5,7,Shrinkage LDA,0.774
Digits,5,8,L-2DLDA+,0.848
Digits,5,8,DATER-reg,0.848
Digits,5,8,MPCA,0.838
Digits,5,8,2DLDA,0.838
Digits,5,8,Nearest centroid,0.838
Digits,5,8,Ridge,0.714
Digits,5,8,Shrinkage LDA,0.834
Digits,5,9,L-2DLDA+,0.854
Digits,5,9,DATER-reg,0.852
Digits,5,9,MPCA,0.854
Digits,5,9,2DLDA,0.854
Digits,5,9,Nearest centroid,0.854
Digits,5,9,Ridge,0.734
Digits,5,9,Shrinkage LDA,0.842
Digits,5,10,L-2DLDA+,0.844
Digits,5,10,DATER-reg,0.846
Digits,5,10,MPCA,0.844
Digits,5,10,2DLDA,0.844
Digits,5,10,Nearest centroid,0.844
Digits,5,10,Ridge,0.67
Digits,5,10,Shrinkage LDA,0.788
Digits,5,11,L-2DLDA+,0.866
Digits,5,11,DATER-reg,0.872
Digits,5,11,MPCA,0.868
Digits,5,11,2DLDA,0.868
Digits,5,11,Nearest centroid,0.868
Digits,5,11,Ridge,0.66
Digits,5,11,Shrinkage LDA,0.772
Digits,5,12,L-2DLDA+,0.864
Digits,5,12,DATER-reg,0.878
Digits,5,12,MPCA,0.878
Digits,5,12,2DLDA,0.878
Digits,5,12,Nearest centroid,0.878
Digits,5,12,Ridge,0.676
Digits,5,12,Shrinkage LDA,0.818
Digits,5,13,L-2DLDA+,0.83
Digits,5,13,DATER-reg,0.836
Digits,5,13,MPCA,0.83
Digits,5,13,2DLDA,0.83
Digits,5,13,Nearest centroid,0.83
Digits,5,13,Ridge,0.692
Digits,5,13,Shrinkage LDA,0.83
Digits,5,14,L-2DLDA+,0.85
Digits,5,14,DATER-reg,0.838
Digits,5,14,MPCA,0.838
Digits,5,14,2DLDA,0.838
Digits,5,14,Nearest centroid,0.838
Digits,5,14,Ridge,0.718
Digits,5,14,Shrinkage LDA,0.806
Digits,5,15,L-2DLDA+,0.77
Digits,5,15,DATER-reg,0.798
Digits,5,15,MPCA,0.79
Digits,5,15,2DLDA,0.79
Digits,5,15,Nearest centroid,0.79
Digits,5,15,Ridge,0.666
Digits,5,15,Shrinkage LDA,0.806
Digits,5,16,L-2DLDA+,0.856
Digits,5,16,DATER-reg,0.864
Digits,5,16,MPCA,0.866
Digits,5,16,2DLDA,0.866
Digits,5,16,Nearest centroid,0.866
Digits,5,16,Ridge,0.696
Digits,5,16,Shrinkage LDA,0.846
Digits,5,17,L-2DLDA+,0.832
Digits,5,17,DATER-reg,0.822
Digits,5,17,MPCA,0.818
Digits,5,17,2DLDA,0.818
Digits,5,17,Nearest centroid,0.818
Digits,5,17,Ridge,0.68
Digits,5,17,Shrinkage LDA,0.802
Digits,5,18,L-2DLDA+,0.854
Digits,5,18,DATER-reg,0.864
Digits,5,18,MPCA,0.856
Digits,5,18,2DLDA,0.856
Digits,5,18,Nearest centroid,0.856
Digits,5,18,Ridge,0.728
Digits,5,18,Shrinkage LDA,0.872
Digits,5,19,L-2DLDA+,0.816
Digits,5,19,DATER-reg,0.806
Digits,5,19,MPCA,0.812
Digits,5,19,2DLDA,0.812
Digits,5,19,Nearest centroid,0.812
Digits,5,19,Ridge,0.67
Digits,5,19,Shrinkage LDA,0.81
Digits,5,20,L-2DLDA+,0.832
Digits,5,20,DATER-reg,0.842
Digits,5,20,MPCA,0.832
Digits,5,20,2DLDA,0.832
Digits,5,20,Nearest centroid,0.832
Digits,5,20,Ridge,0.742
Digits,5,20,Shrinkage LDA,0.822
Digits,5,21,L-2DLDA+,0.834
Digits,5,21,DATER-reg,0.82
Digits,5,21,MPCA,0.816
Digits,5,21,2DLDA,0.816
Digits,5,21,Nearest centroid,0.816
Digits,5,21,Ridge,0.764
Digits,5,21,Shrinkage LDA,0.838
Digits,5,22,L-2DLDA+,0.832
Digits,5,22,DATER-reg,0.842
Digits,5,22,MPCA,0.826
Digits,5,22,2DLDA,0.826
Digits,5,22,Nearest centroid,0.826
Digits,5,22,Ridge,0.69
Digits,5,22,Shrinkage LDA,0.808
Digits,5,23,L-2DLDA+,0.852
Digits,5,23,DATER-reg,0.84
Digits,5,23,MPCA,0.842
Digits,5,23,2DLDA,0.842
Digits,5,23,Nearest centroid,0.842
Digits,5,23,Ridge,0.67
Digits,5,23,Shrinkage LDA,0.852
Digits,5,24,L-2DLDA+,0.866
Digits,5,24,DATER-reg,0.862
