dataset,shots,rep,method,accuracy
MNIST,3,7,Ridge,0.518
MNIST,3,7,Shrinkage LDA,0.542
MNIST,3,8,L-2DLDA+,0.634
MNIST,3,8,DATER-reg,0.612
MNIST,3,8,MPCA,0.632
MNIST,3,8,2DLDA,0.626
MNIST,3,8,Nearest centroid,0.614
MNIST,3,8,Ridge,0.59
MNIST,3,8,Shrinkage LDA,0.56
MNIST,3,9,L-2DLDA+,0.626
MNIST,3,9,DATER-reg,0.578
MNIST,3,9,MPCA,0.6
MNIST,3,9,2DLDA,0.594
MNIST,3,9,Nearest centroid,0.586
MNIST,3,9,Ridge,0.532
MNIST,3,9,Shrinkage LDA,0.548
MNIST,3,10,L-2DLDA+,0.544
MNIST,3,10,DATER-reg,0.526
MNIST,3,10,MPCA,0.54
MNIST,3,10,2DLDA,0.536
MNIST,3,10,Nearest centroid,0.534
MNIST,3,10,Ridge,0.538
MNIST,3,10,Shrinkage LDA,0.54
MNIST,3,11,L-2DLDA+,0.636
MNIST,3,11,DATER-reg,0.612
MNIST,3,11,MPCA,0.614
MNIST,3,11,2DLDA,0.62
MNIST,3,11,Nearest centroid,0.622
MNIST,3,11,Ridge,0.578
MNIST,3,11,Shrinkage LDA,0.592
MNIST,3,12,L-2DLDA+,0.532
MNIST,3,12,DATER-reg,0.508
MNIST,3,12,MPCA,0.524
MNIST,3,12,2DLDA,0.524
MNIST,3,12,Nearest centroid,0.524
MNIST,3,12,Ridge,0.49
MNIST,3,12,Shrinkage LDA,0.492
MNIST,3,13,L-2DLDA+,0.646
MNIST,3,13,DATER-reg,0.652
MNIST,3,13,MPCA,0.654
MNIST,3,13,2DLDA,0.65
MNIST,3,13,Nearest centroid,0.658
MNIST,3,13,Ridge,0.624
MNIST,3,13,Shrinkage LDA,0.632
MNIST,3,14,L-2DLDA+,0.584
MNIST,3,14,DATER-reg,0.556
MNIST,3,14,MPCA,0.562
MNIST,3,14,2DLDA,0.564
MNIST,3,14,Nearest centroid,0.558
MNIST,3,14,Ridge,0.55
MNIST,3,14,Shrinkage LDA,0.494
MNIST,3,15,L-2DLDA+,0.568
MNIST,3,15,DATER-reg,0.542
MNIST,3,15,MPCA,0.55
MNIST,3,15,2DLDA,0.562
MNIST,3,15,Nearest centroid,0.556
MNIST,3,15,Ridge,0.564
MNIST,3,15,Shrinkage LDA,0.554
MNIST,3,16,L-2DLDA+,0.566
MNIST,3,16,DATER-reg,0.526
MNIST,3,16,MPCA,0.534
MNIST,3,16,2DLDA,0.532
MNIST,3,16,Nearest centroid,0.538
MNIST,3,16,Ridge,0.532
MNIST,3,16,Shrinkage LDA,0.518
MNIST,3,17,L-2DLDA+,0.644
MNIST,3,17,DATER-reg,0.598
MNIST,3,17,MPCA,0.612
MNIST,3,17,2DLDA,0.616
MNIST,3,17,Nearest centroid,0.62
MNIST,3,17,Ridge,0.542
MNIST,3,17,Shrinkage LDA,0.544
MNIST,3,18,L-2DLDA+,0.684
MNIST,3,18,DATER-reg,0.638
MNIST,3,18,MPCA,0.652
MNIST,3,18,2DLDA,0.654
MNIST,3,18,Nearest centroid,0.654
MNIST,3,18,Ridge,0.518
MNIST,3,18,Shrinkage LDA,0.574
MNIST,3,19,L-2DLDA+,0.55
MNIST,3,19,DATER-reg,0.518
MNIST,3,19,MPCA,0.526
MNIST,3,19,2DLDA,0.532
MNIST,3,19,Nearest centroid,0.532
MNIST,3,19,Ridge,0.446
MNIST,3,19,Shrinkage LDA,0.482
MNIST,3,20,L-2DLDA+,0.606
MNIST,3,20,DATER-reg,0.588
MNIST,3,20,MPCA,0.59
MNIST,3,20,2DLDA,0.586
MNIST,3,20,Nearest centroid,0.59
MNIST,3,20,Ridge,0.574
MNIST,3,20,Shrinkage LDA,0.568
MNIST,3,21,L-2DLDA+,0.542
MNIST,3,21,DATER-reg,0.496
MNIST,3,21,MPCA,0.506
MNIST,3,21,2DLDA,0.504
MNIST,3,21,Nearest centroid,0.502
MNIST,3,21,Ridge,0.474
MNIST,3,21,Shrinkage LDA,0.432
MNIST,3,22,L-2DLDA+,0.644
MNIST,3,22,DATER-reg,0.622
MNIST,3,22,MPCA,0.634
MNIST,3,22,2DLDA,0.636
MNIST,3,22,Nearest centroid,0.624
MNIST,3,22,Ridge,0.6
MNIST,3,22,Shrinkage LDA,0.564
MNIST,3,23,L-2DLDA+,0.578
MNIST,3,23,DATER-reg,0.542
MNIST,3,23,MPCA,0.558
MNIST,3,23,2DLDA,0.556
MNIST,3,23,Nearest centroid,0.556
MNIST,3,23,Ridge,0.462
MNIST,3,23,Shrinkage LDA,0.506
MNIST,3,24,L-2DLDA+,0.602
MNIST,3,24,DATER-reg,0.562
MNIST,3,24,MPCA,0.584
MNIST,3,24,2DLDA,0.582
MNIST,3,24,Nearest centroid,0.576
MNIST,3,24,Ridge,0.498
MNIST,3,24,Shrinkage LDA,0.54
MNIST,3,25,L-2DLDA+,0.64
MNIST,3,25,DATER-reg,0.598
MNIST,3,25,MPCA,0.62
MNIST,3,25,2DLDA,0.622
MNIST,3,25,Nearest centroid,0.622
MNIST,3,25,Ridge,0.554
MNIST,3,25,Shrinkage LDA,0.524
MNIST,3,26,L-2DLDA+,0.694
MNIST,3,26,DATER-reg,0.648
MNIST,3,26,MPCA,0.664
MNIST,3,26,2DLDA,0.658
MNIST,3,26,Nearest centroid,0.652
MNIST,3,26,Ridge,0.524
MNIST,3,26,Shrinkage LDA,0.552
MNIST,3,27,L-2DLDA+,0.594
MNIST,3,27,DATER-reg,0.558
MNIST,3,27,MPCA,0.574
MNIST,3,27,2DLDA,0.572
MNIST,3,27,Nearest centroid,0.574
MNIST,3,27,Ridge,0.55
MNIST,3,27,Shrinkage LDA,0.534
MNIST,3,28,L-2DLDA+,0.606
MNIST,3,28,DATER-reg,0.552
MNIST,3,28,MPCA,0.566
MNIST,3,28,2DLDA,0.57
MNIST,3,28,Nearest centroid,0.574
MNIST,3,28,Ridge,0.548
MNIST,3,28,Shrinkage LDA,0.572
MNIST,3,29,L-2DLDA+,0.65
MNIST,3,29,DATER-reg,0.632
MNIST,3,29,MPCA,0.65
MNIST,3,29,2DLDA,0.646
MNIST,3,29,Nearest centroid,0.646
MNIST,3,29,Ridge,0.57
MNIST,3,29,Shrinkage LDA,0.552
MNIST,3,30,L-2DLDA+,0.622
MNIST,3,30,DATER-reg,0.612
MNIST,3,30,MPCA,0.61
MNIST,3,30,2DLDA,0.612
MNIST,3,30,Nearest centroid,0.612
MNIST,3,30,Ridge,0.57
MNIST,3,30,Shrinkage LDA,0.62
MNIST,3,31,L-2DLDA+,0.59
MNIST,3,31,DATER-reg,0.558
MNIST,3,31,MPCA,0.57
MNIST,3,31,2DLDA,0.574
MNIST,3,31,Nearest centroid,0.57
MNIST,3,31,Ridge,0.5
MNIST,3,31,Shrinkage LDA,0.496
MNIST,3,32,L-2DLDA+,0.582
MNIST,3,32,DATER-reg,0.552
MNIST,3,32,MPCA,0.564
MNIST,3,32,2DLDA,0.562
MNIST,3,32,Nearest centroid,0.554
MNIST,3,32,Ridge,0.588
MNIST,3,32,Shrinkage LDA,0.566
MNIST,3,33,L-2DLDA+,0.566
MNIST,3,33,DATER-reg,0.546
MNIST,3,33,MPCA,0.552
MNIST,3,33,2DLDA,0.55
MNIST,3,33,Nearest centroid,0.558
MNIST,3,33,Ridge,0.55
MNIST,3,33,Shrinkage LDA,0.55
MNIST,3,34,L-2DLDA+,0.628
MNIST,3,34,DATER-reg,0.59
MNIST,3,34,MPCA,0.61
MNIST,3,34,2DLDA,0.606
MNIST,3,34,Nearest centroid,0.606
MNIST,3,34,Ridge,0.546
MNIST,3,34,Shrinkage LDA,0.54
MNIST,3,35,L-2DLDA+,0.578
MNIST,3,35,DATER-reg,0.53
MNIST,3,35,MPCA,0.54
MNIST,3,35,2DLDA,0.54
MNIST,3,35,Nearest centroid,0.528
MNIST,3,35,Ridge,0.522
MNIST,3,35,Shrinkage LDA,0.496
MNIST,3,36,L-2DLDA+,0.57
MNIST,3,36,DATER-reg,0.546
MNIST,3,36,MPCA,0.56
MNIST,3,36,2DLDA,0.556
MNIST,3,36,Nearest centroid,0.552
MNIST,3,36,Ridge,0.516
MNIST,3,36,Shrinkage LDA,0.508
MNIST,3,37,L-2DLDA+,0.612
MNIST,3,37,DATER-reg,0.602
MNIST,3,37,MPCA,0.592
MNIST,3,37,2DLDA,0.592
MNIST,3,37,Nearest centroid,0.592
MNIST,3,37,Ridge,0.52
MNIST,3,37,Shrinkage LDA,0.54
MNIST,3,38,L-2DLDA+,0.646
MNIST,3,38,DATER-reg,0.596
MNIST,3,38,MPCA,0.608
MNIST,3,38,2DLDA,0.602
MNIST,3,38,Nearest centroid,0.606
MNIST,3,38,Ridge,0.52
MNIST,3,38,Shrinkage LDA,0.55
MNIST,3,39,L-2DLDA+,0.636
MNIST,3,39,DATER-reg,0.574
MNIST,3,39,MPCA,0.606
MNIST,3,39,2DLDA,0.598
MNIST,3,39,Nearest centroid,0.596
MNIST,3,39,Ridge,0.506
MNIST,3,39,Shrinkage LDA,0.522
MNIST,3,40,L-2DLDA+,0.67
MNIST,3,40,DATER-reg,0.64
MNIST,3,40,MPCA,0.636
MNIST,3,40,2DLDA,0.638
MNIST,3,40,Nearest centroid,0.64
MNIST,3,40,Ridge,0.59
MNIST,3,40,Shrinkage LDA,0.58
MNIST,3,41,L-2DLDA+,0.626
MNIST,3,41,DATER-reg,0.62
MNIST,3,41,MPCA,0.618
MNIST,3,41,2DLDA,0.618
MNIST,3,41,Nearest centroid,0.614
MNIST,3,41,Ridge,0.562
MNIST,3,41,Shrinkage LDA,0.558
MNIST,3,42,L-2DLDA+,0.606
MNIST,3,42,DATER-reg,0.576
MNIST,3,42,MPCA,0.59
MNIST,3,42,2DLDA,0.592
MNIST,3,42,Nearest centroid,0.588
MNIST,3,42,Ridge,0.56
MNIST,3,42,Shrinkage LDA,0.538
MNIST,3,43,L-2DLDA+,0.648
MNIST,3,43,DATER-reg,0.642
MNIST,3,43,MPCA,0.64
MNIST,3,43,2DLDA,0.644
MNIST,3,43,Nearest centroid,0.638
MNIST,3,43,Ridge,0.596
MNIST,3,43,Shrinkage LDA,0.612
MNIST,3,44,L-2DLDA+,0.686
MNIST,3,44,DATER-reg,0.644
MNIST,3,44,MPCA,0.644
MNIST,3,44,2DLDA,0.654
MNIST,3,44,Nearest centroid,0.652
MNIST,3,44,Ridge,0.556
MNIST,3,44,Shrinkage LDA,0.568
MNIST,3,45,L-2DLDA+,0.524
MNIST,3,45,DATER-reg,0.528
MNIST,3,45,MPCA,0.534
MNIST,3,45,2DLDA,0.538
MNIST,3,45,Nearest centroid,0.542
MNIST,3,45,Ridge,0.51
MNIST,3,45,Shrinkage LDA,0.508
MNIST,3,46,L-2DLDA+,0.614
MNIST,3,46,DATER-reg,0.572
MNIST,3,46,MPCA,0.592
MNIST,3,46,2DLDA,0.588
MNIST,3,46,Nearest centroid,0.582
MNIST,3,46,Ridge,0.51
MNIST,3,46,Shrinkage LDA,0.486
MNIST,3,47,L-2DLDA+,0.58
MNIST,3,47,DATER-reg,0.558
MNIST,3,47,MPCA,0.574
MNIST,3,47,2DLDA,0.57
MNIST,3,47,Nearest centroid,0.568
MNIST,3,47,Ridge,0.464
MNIST,3,47,Shrinkage LDA,0.466
MNIST,3,48,L-2DLDA+,0.686
MNIST,3,48,DATER-reg,0.654
MNIST,3,48,MPCA,0.66
MNIST,3,48,2DLDA,0.664
MNIST,3,48,Nearest centroid,0.662
MNIST,3,48,Ridge,0.602
MNIST,3,48,Shrinkage LDA,0.554
MNIST,3,49,L-2DLDA+,0.62
MNIST,3,49,DATER-reg,0.592
MNIST,3,49,MPCA,0.586
MNIST,3,49,2DLDA,0.582
MNIST,3,49,Nearest centroid,0.592
MNIST,3,49,Ridge,0.528
MNIST,3,49,Shrinkage LDA,0.52
MNIST,5,0,L-2DLDA+,0.744
MNIST,5,0,DATER-reg,0.702
MNIST,5,0,MPCA,0.716
MNIST,5,0,2DLDA,0.726
MNIST,5,0,Nearest centroid,0.714
MNIST,5,0,Ridge,0.6
MNIST,5,0,Shrinkage LDA,0.636
MNIST,5,1,L-2DLDA+,0.696
MNIST,5,1,DATER-reg,0.664
MNIST,5,1,MPCA,0.672
MNIST,5,1,2DLDA,0.672
MNIST,5,1,Nearest centroid,0.662
MNIST,5,1,Ridge,0.624
MNIST,5,1,Shrinkage LDA,0.638
MNIST,5,2,L-2DLDA+,0.714
MNIST,5,2,DATER-reg,0.672
MNIST,5,2,MPCA,0.678
MNIST,5,2,2DLDA,0.678
MNIST,5,2,Nearest centroid,0.68
MNIST,5,2,Ridge,0.624
MNIST,5,2,Shrinkage LDA,0.62
MNIST,5,3,L-2DLDA+,0.73
MNIST,5,3,DATER-reg,0.716
MNIST,5,3,MPCA,0.718
MNIST,5,3,2DLDA,0.718
MNIST,5,3,Nearest centroid,0.728
MNIST,5,3,Ridge,0.66
MNIST,5,3,Shrinkage LDA,0.704
MNIST,5,4,L-2DLDA+,0.688
MNIST,5,4,DATER-reg,0.652
MNIST,5,4,MPCA,0.664
MNIST,5,4,2DLDA,0.662
MNIST,5,4,Nearest centroid,0.664
MNIST,5,4,Ridge,0.584
MNIST,5,4,Shrinkage LDA,0.59
MNIST,5,5,L-2DLDA+,0.638
MNIST,5,5,DATER-reg,0.602
MNIST,5,5,MPCA,0.622
MNIST,5,5,2DLDA,0.62
MNIST,5,5,Nearest centroid,0.614
MNIST,5,5,Ridge,0.57
MNIST,5,5,Shrinkage LDA,0.608
MNIST,5,6,L-2DLDA+,0.682
MNIST,5,6,DATER-reg,0.662
MNIST,5,6,MPCA,0.66
MNIST,5,6,2DLDA,0.666
MNIST,5,6,Nearest centroid,0.664
MNIST,5,6,Ridge,0.644
MNIST,5,6,Shrinkage LDA,0.7
MNIST,5,7,L-2DLDA+,0.68
MNIST,5,7,DATER-reg,0.666
MNIST,5,7,MPCA,0.664
MNIST,5,7,2DLDA,0.668
MNIST,5,7,Nearest centroid,0.672
MNIST,5,7,Ridge,0.594
MNIST,5,7,Shrinkage LDA,0.658
MNIST,5,8,L-2DLDA+,0.682
MNIST,5,8,DATER-reg,0.654
MNIST,5,8,MPCA,0.658
MNIST,5,8,2DLDA,0.664
MNIST,5,8,Nearest centroid,0.664
MNIST,5,8,Ridge,0.568
MNIST,5,8,Shrinkage LDA,0.642
MNIST,5,9,L-2DLDA+,0.694
MNIST,5,9,DATER-reg,0.682
MNIST,5,9,MPCA,0.674
MNIST,5,9,2DLDA,0.684
MNIST,5,9,Nearest centroid,0.676
MNIST,5,9,Ridge,0.568
MNIST,5,9,Shrinkage LDA,0.584
MNIST,5,10,L-2DLDA+,0.684
MNIST,5,10,DATER-reg,0.64
MNIST,5,10,MPCA,0.664
MNIST,5,10,2DLDA,0.66
MNIST,5,10,Nearest centroid,0.668
MNIST,5,10,Ridge,0.562
MNIST,5,10,Shrinkage LDA,0.614
MNIST,5,11,L-2DLDA+,0.64
MNIST,5,11,DATER-reg,0.634
MNIST,5,11,MPCA,0.642
MNIST,5,11,2DLDA,0.638
MNIST,5,11,Nearest centroid,0.64
MNIST,5,11,Ridge,0.61
MNIST,5,11,Shrinkage LDA,0.618
MNIST,5,12,L-2DLDA+,0.706
MNIST,5,12,DATER-reg,0.684
MNIST,5,12,MPCA,0.678
MNIST,5,12,2DLDA,0.68
MNIST,5,12,Nearest centroid,0.69
MNIST,5,12,Ridge,0.656
MNIST,5,12,Shrinkage LDA,0.668
MNIST,5,13,L-2DLDA+,0.606
MNIST,5,13,DATER-reg,0.59
MNIST,5,13,MPCA,0.588
MNIST,5,13,2DLDA,0.592
MNIST,5,13,Nearest centroid,0.594
MNIST,5,13,Ridge,0.522
MNIST,5,13,Shrinkage LDA,0.554
MNIST,5,14,L-2DLDA+,0.742
MNIST,5,14,DATER-reg,0.722
MNIST,5,14,MPCA,0.716
MNIST,5,14,2DLDA,0.716
MNIST,5,14,Nearest centroid,0.718
MNIST,5,14,Ridge,0.642
MNIST,5,14,Shrinkage LDA,0.666
MNIST,5,15,L-2DLDA+,0.72
MNIST,5,15,DATER-reg,0.694
MNIST,5,15,MPCA,0.704
MNIST,5,15,2DLDA,0.704
MNIST,5,15,Nearest centroid,0.706
MNIST,5,15,Ridge,0.614
MNIST,5,15,Shrinkage LDA,0.652
MNIST,5,16,L-2DLDA+,0.65
MNIST,5,16,DATER-reg,0.626
MNIST,5,16,MPCA,0.616
MNIST,5,16,2DLDA,0.618
MNIST,5,16,Nearest centroid,0.618
MNIST,5,16,Ridge,0.562
MNIST,5,16,Shrinkage LDA,0.614
MNIST,5,17,L-2DLDA+,0.678
MNIST,5,17,DATER-reg,0.668
MNIST,5,17,MPCA,0.662
MNIST,5,17,2DLDA,0.67
MNIST,5,17,Nearest centroid,0.662
MNIST,5,17,Ridge,0.596
MNIST,5,17,Shrinkage LDA,0.592
MNIST,5,18,L-2DLDA+,0.722
MNIST,5,18,DATER-reg,0.698
MNIST,5,18,MPCA,0.706
MNIST,5,18,2DLDA,0.706
MNIST,5,18,Nearest centroid,0.71
MNIST,5,18,Ridge,0.62
MNIST,5,18,Shrinkage LDA,0.654
MNIST,5,19,L-2DLDA+,0.686
MNIST,5,19,DATER-reg,0.67
MNIST,5,19,MPCA,0.666
MNIST,5,19,2DLDA,0.664
MNIST,5,19,Nearest centroid,0.67
MNIST,5,19,Ridge,0.612
MNIST,5,19,Shrinkage LDA,0.644
MNIST,5,20,L-2DLDA+,0.68
MNIST,5,20,DATER-reg,0.652
MNIST,5,20,MPCA,0.672
MNIST,5,20,2DLDA,0.674
MNIST,5,20,Nearest centroid,0.678
MNIST,5,20,Ridge,0.542
MNIST,5,20,Shrinkage LDA,0.57
MNIST,5,21,L-2DLDA+,0.696
MNIST,5,21,DATER-reg,0.638
MNIST,5,21,MPCA,0.658
MNIST,5,21,2DLDA,0.664
MNIST,5,21,Nearest centroid,0.66
MNIST,5,21,Ridge,0.608
MNIST,5,21,Shrinkage LDA,0.618
MNIST,5,22,L-2DLDA+,0.674
MNIST,5,22,DATER-reg,0.662
MNIST,5,22,MPCA,0.658
MNIST,5,22,2DLDA,0.658
MNIST,5,22,Nearest centroid,0.66
MNIST,5,22,Ridge,0.57
MNIST,5,22,Shrinkage LDA,0.602
MNIST,5,23,L-2DLDA+,0.666
MNIST,5,23,DATER-reg,0.634
MNIST,5,23,MPCA,0.64
MNIST,5,23,2DLDA,0.642
MNIST,5,23,Nearest centroid,0.646
MNIST,5,23,Ridge,0.63
MNIST,5,23,Shrinkage LDA,0.666
MNIST,5,24,L-2DLDA+,0.634
MNIST,5,24,DATER-reg,0.628
MNIST,5,24,MPCA,0.624
MNIST,5,24,2DLDA,0.628
MNIST,5,24,Nearest centroid,0.628
MNIST,5,24,Ridge,0.61
MNIST,5,24,Shrinkage LDA,0.614
MNIST,5,25,L-2DLDA+,0.584
MNIST,5,25,DATER-reg,0.546
MNIST,5,25,MPCA,0.566
MNIST,5,25,2DLDA,0.568
MNIST,5,25,Nearest centroid,0.57
MNIST,5,25,Ridge,0.582
MNIST,5,25,Shrinkage LDA,0.57
MNIST,5,26,L-2DLDA+,0.682
MNIST,5,26,DATER-reg,0.656
MNIST,5,26,MPCA,0.68
MNIST,5,26,2DLDA,0.68
MNIST,5,26,Nearest centroid,0.676
MNIST,5,26,Ridge,0.598
MNIST,5,26,Shrinkage LDA,0.624
MNIST,5,27,L-2DLDA+,0.63
MNIST,5,27,DATER-reg,0.61
MNIST,5,27,MPCA,0.62
MNIST,5,27,2DLDA,0.622
MNIST,5,27,Nearest centroid,0.618
MNIST,5,27,Ridge,0.564
MNIST,5,27,Shrinkage LDA,0.612
MNIST,5,28,L-2DLDA+,0.692
MNIST,5,28,DATER-reg,0.676
MNIST,5,28,MPCA,0.672
MNIST,5,28,2DLDA,0.68
MNIST,5,28,Nearest centroid,0.672
MNIST,5,28,Ridge,0.618
MNIST,5,28,Shrinkage LDA,0.658
MNIST,5,29,L-2DLDA+,0.716
MNIST,5,29,DATER-reg,0.66
MNIST,5,29,MPCA,0.696
MNIST,5,29,2DLDA,0.692
MNIST,5,29,Nearest centroid,0.686
MNIST,5,29,Ridge,0.568
MNIST,5,29,Shrinkage LDA,0.642
MNIST,5,30,L-2DLDA+,0.714
MNIST,5,30,DATER-reg,0.688
MNIST,5,30,MPCA,0.704
MNIST,5,30,2DLDA,0.704
MNIST,5,30,Nearest centroid,0.702
MNIST,5,30,Ridge,0.608
MNIST,5,30,Shrinkage LDA,0.636
MNIST,5,31,L-2DLDA+,0.652
MNIST,5,31,DATER-reg,0.638
MNIST,5,31,MPCA,0.648
MNIST,5,31,2DLDA,0.646
MNIST,5,31,Nearest centroid,0.646
MNIST,5,31,Ridge,0.606
MNIST,5,31,Shrinkage LDA,0.622
MNIST,5,32,L-2DLDA+,0.61
MNIST,5,32,DATER-reg,0.608
MNIST,5,32,MPCA,0.6
MNIST,5,32,2DLDA,0.604
MNIST,5,32,Nearest centroid,0.606
MNIST,5,32,Ridge,0.556
MNIST,5,32,Shrinkage LDA,0.566
MNIST,5,33,L-2DLDA+,0.668
MNIST,5,33,DATER-reg,0.632
MNIST,5,33,MPCA,0.65
MNIST,5,33,2DLDA,0.654
MNIST,5,33,Nearest centroid,0.648
MNIST,5,33,Ridge,0.596
MNIST,5,33,Shrinkage LDA,0.584
MNIST,5,34,L-2DLDA+,0.66
MNIST,5,34,DATER-reg,0.64
MNIST,5,34,MPCA,0.65
MNIST,5,34,2DLDA,0.648
MNIST,5,34,Nearest centroid,0.65
MNIST,5,34,Ridge,0.59
MNIST,5,34,Shrinkage LDA,0.638
MNIST,5,35,L-2DLDA+,0.666
MNIST,5,35,DATER-reg,0.64
MNIST,5,35,MPCA,0.668
MNIST,5,35,2DLDA,0.666
MNIST,5,35,Nearest centroid,0.67
MNIST,5,35,Ridge,0.6
MNIST,5,35,Shrinkage LDA,0.634
MNIST,5,36,L-2DLDA+,0.658
MNIST,5,36,DATER-reg,0.632
MNIST,5,36,MPCA,0.646
MNIST,5,36,2DLDA,0.642
MNIST,5,36,Nearest centroid,0.636
MNIST,5,36,Ridge,0.596
MNIST,5,36,Shrinkage LDA,0.606
MNIST,5,37,L-2DLDA+,0.648
MNIST,5,37,DATER-reg,0.618
MNIST,5,37,MPCA,0.628
MNIST,5,37,2DLDA,0.626
MNIST,5,37,Nearest centroid,0.624
MNIST,5,37,Ridge,0.576
MNIST,5,37,Shrinkage LDA,0.604
MNIST,5,38,L-2DLDA+,0.732
MNIST,5,38,DATER-reg,0.692
MNIST,5,38,MPCA,0.702
MNIST,5,38,2DLDA,0.7
MNIST,5,38,Nearest centroid,0.702
MNIST,5,38,Ridge,0.6
MNIST,5,38,Shrinkage LDA,0.61
MNIST,5,39,L-2DLDA+,0.678
MNIST,5,39,DATER-reg,0.656
MNIST,5,39,MPCA,0.674
MNIST,5,39,2DLDA,0.672
MNIST,5,39,Nearest centroid,0.67
MNIST,5,39,Ridge,0.59
MNIST,5,39,Shrinkage LDA,0.622
MNIST,5,40,L-2DLDA+,0.74
MNIST,5,40,DATER-reg,0.72
MNIST,5,40,MPCA,0.722
MNIST,5,40,2DLDA,0.73
MNIST,5,40,Nearest centroid,0.73
MNIST,5,40,Ridge,0.63
MNIST,5,40,Shrinkage LDA,0.66
MNIST,5,41,L-2DLDA+,0.69
MNIST,5,41,DATER-reg,0.662
MNIST,5,41,MPCA,0.674
MNIST,5,41,2DLDA,0.674
MNIST,5,41,Nearest centroid,0.678
MNIST,5,41,Ridge,0.562
MNIST,5,41,Shrinkage LDA,0.616
MNIST,5,42,L-2DLDA+,0.71
MNIST,5,42,DATER-reg,0.676
MNIST,5,42,MPCA,0.672
MNIST,5,42,2DLDA,0.68
MNIST,5,42,Nearest centroid,0.68
MNIST,5,42,Ridge,0.632
MNIST,5,42,Shrinkage LDA,0.626
MNIST,5,43,L-2DLDA+,0.604
MNIST,5,43,DATER-reg,0.598
MNIST,5,43,MPCA,0.604
MNIST,5,43,2DLDA,0.608
MNIST,5,43,Nearest centroid,0.602
MNIST,5,43,Ridge,0.524
MNIST,5,43,Shrinkage LDA,0.534
MNIST,5,44,L-2DLDA+,0.67
MNIST,5,44,DATER-reg,0.648
MNIST,5,44,MPCA,0.654
MNIST,5,44,2DLDA,0.664
MNIST,5,44,Nearest centroid,0.656
MNIST,5,44,Ridge,0.592
MNIST,5,44,Shrinkage LDA,0.614
MNIST,5,45,L-2DLDA+,0.72
MNIST,5,45,DATER-reg,0.696
MNIST,5,45,MPCA,0.71
MNIST,5,45,2DLDA,0.712
MNIST,5,45,Nearest centroid,0.716
MNIST,5,45,Ridge,0.636
MNIST,5,45,Shrinkage LDA,0.698
MNIST,5,46,L-2DLDA+,0.69
MNIST,5,46,DATER-reg,0.658
MNIST,5,46,MPCA,0.672
MNIST,5,46,2DLDA,0.664
MNIST,5,46,Nearest centroid,0.66
MNIST,5,46,Ridge,0.57
MNIST,5,46,Shrinkage LDA,0.556
MNIST,5,47,L-2DLDA+,0.684
MNIST,5,47,DATER-reg,0.666
MNIST,5,47,MPCA,0.676
MNIST,5,47,2DLDA,0.68
MNIST,5,47,Nearest centroid,0.68
MNIST,5,47,Ridge,0.564
MNIST,5,47,Shrinkage LDA,0.598
MNIST,5,48,L-2DLDA+,0.658
MNIST,5,48,DATER-reg,0.634
MNIST,5,48,MPCA,0.642
MNIST,5,48,2DLDA,0.644
MNIST,5,48,Nearest centroid,0.646
MNIST,5,48,Ridge,0.582
MNIST,5,48,Shrinkage LDA,0.578
MNIST,5,49,L-2DLDA+,0.69
MNIST,5,49,DATER-reg,0.67
MNIST,5,49,MPCA,0.67
MNIST,5,49,2DLDA,0.678
MNIST,5,49,Nearest centroid,0.674
MNIST,5,49,Ridge,0.61
MNIST,5,49,Shrinkage LDA,0.642
"Digits-32, $\sigma=1.2$",5,0,L-2DLDA,0.638
"Digits-32, $\sigma=1.2$",5,0,DATER-reg,0.616
"Digits-32, $\sigma=1.2$",5,0,MPCA,0.576
"Digits-32, $\sigma=1.2$",5,0,2DLDA,0.576
"Digits-32, $\sigma=1.2$",5,0,Nearest centroid,0.57
"Digits-32, $\sigma=1.2$",5,0,Ridge,0.49
"Digits-32, $\sigma=1.2$",5,0,Shrinkage LDA,0.558
"Digits-32, $\sigma=1.2$",5,1,L-2DLDA,0.582
"Digits-32, $\sigma=1.2$",5,1,DATER-reg,0.576
"Digits-32, $\sigma=1.2$",5,1,MPCA,0.536
"Digits-32, $\sigma=1.2$",5,1,2DLDA,0.554
"Digits-32, $\sigma=1.2$",5,1,Nearest centroid,0.562
"Digits-32, $\sigma=1.2$",5,1,Ridge,0.464
"Digits-32, $\sigma=1.2$",5,1,Shrinkage LDA,0.496
"Digits-32, $\sigma=1.2$",5,2,L-2DLDA,0.622
"Digits-32, $\sigma=1.2$",5,2,DATER-reg,0.606
"Digits-32, $\sigma=1.2$",5,2,MPCA,0.548
"Digits-32, $\sigma=1.2$",5,2,2DLDA,0.55
"Digits-32, $\sigma=1.2$",5,2,Nearest centroid,0.55
"Digits-32, $\sigma=1.2$",5,2,Ridge,0.414
"Digits-32, $\sigma=1.2$",5,2,Shrinkage LDA,0.462
"Digits-32, $\sigma=1.2$",5,3,L-2DLDA,0.61
"Digits-32, $\sigma=1.2$",5,3,DATER-reg,0.59
"Digits-32, $\sigma=1.2$",5,3,MPCA,0.568
"Digits-32, $\sigma=1.2$",5,3,2DLDA,0.556
"Digits-32, $\sigma=1.2$",5,3,Nearest centroid,0.554
"Digits-32, $\sigma=1.2$",5,3,Ridge,0.478
"Digits-32, $\sigma=1.2$",5,3,Shrinkage LDA,0.532
"Digits-32, $\sigma=1.2$",5,4,L-2DLDA,0.632
