rep,r,rho,lambda,init,iter,delta_r,delta_c,delta
2,40,0.3,0.1,identity,8,1.1641469748569984e-06,5.050596251303141e-07,8.346032999936563e-07
2,40,0.3,0.1,identity,9,2.0946156976508913e-07,9.070351171661075e-08,1.5008254074084994e-07
2,40,0.3,0.1,identity,10,3.810954899056477e-08,1.6500094060136513e-08,2.730482152535064e-08
2,40,0.3,0.1,identity,11,6.995851737985126e-09,3.031708773367869e-09,5.013780255676497e-09
2,40,0.3,0.1,identity,12,1.2937516343234744e-09,5.615055463410409e-10,9.276285903322576e-10
2,40,0.3,0.1,identity,13,2.407428560467954e-10,1.0467484780877586e-10,1.7270885192778563e-10
2,40,0.3,0.1,identity,14,4.503414240756829e-11,1.9618337044131173e-11,3.2326239725849734e-11
2,40,0.3,0.1,identity,15,8.462259442514388e-12,3.693487366790906e-12,6.077873404652647e-12
2,40,0.3,0.1,identity,16,1.5962830068322007e-12,6.979596300048993e-13,1.14712131841855e-12
2,40,0.3,0.1,identity,17,3.021417285297169e-13,1.324132455875007e-13,2.172774870586088e-13
2,40,0.3,0.1,identity,18,5.736875871696499e-14,2.505473442015377e-14,4.121174656855938e-14
2,40,0.3,0.1,identity,19,1.0905368113080202e-14,4.888572753472665e-15,7.896970433276434e-15
2,40,0.3,0.1,identity,20,2.1394830523247124e-15,1.0492493426775388e-15,1.5943661975011255e-15
3,40,0.3,0.1,identity,1,0.47264420345275265,0.3982351330045246,0.43543966822863867
3,40,0.3,0.1,identity,2,0.08808551954019087,0.031994089275304664,0.06003980440774777
3,40,0.3,0.1,identity,3,0.009738361742228654,0.004444891023801839,0.0070916263830152464
3,40,0.3,0.1,identity,4,0.001381925309719233,0.000642413934828883,0.001012169622274058
