gap,rep,method,error
2.0,13,L-2DLDA,0.44999999999999996
2.0,13,2DLDA,0.546875
2.0,14,L-2DLDA,0.503125
2.0,14,2DLDA,0.490625
2.0,15,L-2DLDA,0.421875
2.0,15,2DLDA,0.478125
2.0,16,L-2DLDA,0.675
2.0,16,2DLDA,0.47187500000000004
2.0,17,L-2DLDA,0.22812500000000002
2.0,17,2DLDA,0.54375
2.0,18,L-2DLDA,0.3375
2.0,18,2DLDA,0.49687499999999996
2.0,19,L-2DLDA,0.503125
2.0,19,2DLDA,0.475
2.0,20,L-2DLDA,0.44999999999999996
2.0,20,2DLDA,0.50625
2.0,21,L-2DLDA,0.478125
2.0,21,2DLDA,0.50625
2.0,22,L-2DLDA,0.28125
2.0,22,2DLDA,0.5375
2.0,23,L-2DLDA,0.515625
2.0,23,2DLDA,0.534375
2.0,24,L-2DLDA,0.25312500000000004
2.0,24,2DLDA,0.5
2.0,25,L-2DLDA,0.39375000000000004
2.0,25,2DLDA,0.478125
2.0,26,L-2DLDA,0.25625
2.0,26,2DLDA,0.490625
2.0,27,L-2DLDA,0.503125
2.0,27,2DLDA,0.49687499999999996
2.0,28,L-2DLDA,0.35
2.0,28,2DLDA,0.503125
2.0,29,L-2DLDA,0.4375
2.0,29,2DLDA,0.459375
2.0,30,L-2DLDA,0.46875
2.0,30,2DLDA,0.46875
2.0,31,L-2DLDA,0.44062500000000004
2.0,31,2DLDA,0.509375
2.0,32,L-2DLDA,0.39375000000000004
2.0,32,2DLDA,0.49687499999999996
2.0,33,L-2DLDA,0.259375
2.0,33,2DLDA,0.5375
2.0,34,L-2DLDA,0.39375000000000004
2.0,34,2DLDA,0.521875
2.0,35,L-2DLDA,0.615625
2.0,35,2DLDA,0.475
2.0,36,L-2DLDA,0.275
2.0,36,2DLDA,0.54375
2.0,37,L-2DLDA,0.475
2.0,37,2DLDA,0.49687499999999996
2.0,38,L-2DLDA,0.5375
2.0,38,2DLDA,0.4625
2.0,39,L-2DLDA,0.4375
2.0,39,2DLDA,0.5125
2.0,40,L-2DLDA,0.14687499999999998
2.0,40,2DLDA,0.521875
2.0,41,L-2DLDA,0.20625000000000004
2.0,41,2DLDA,0.53125
2.0,42,L-2DLDA,0.525
2.0,42,2DLDA,0.528125
2.0,43,L-2DLDA,0.41874999999999996
2.0,43,2DLDA,0.47187500000000004
2.0,44,L-2DLDA,0.275
2.0,44,2DLDA,0.48750000000000004
2.0,45,L-2DLDA,0.13124999999999998
2.0,45,2DLDA,0.503125
2.0,46,L-2DLDA,0.55
2.0,46,2DLDA,0.503125
2.0,47,L-2DLDA,0.40625
2.0,47,2DLDA,0.5
2.0,48,L-2DLDA,0.38125
2.0,48,2DLDA,0.5
2.0,49,L-2DLDA,0.30625
2.0,49,2DLDA,0.46875
2.4,0,L-2DLDA,0.050000000000000044
2.4,0,2DLDA,0.503125
2.4,1,L-2DLDA,0.4125
2.4,1,2DLDA,0.515625
2.4,2,L-2DLDA,0.021874999999999978
2.4,2,2DLDA,0.45625000000000004
2.4,3,L-2DLDA,0.46875
2.4,3,2DLDA,0.515625
2.4,4,L-2DLDA,0.006249999999999978
2.4,4,2DLDA,0.4625
2.4,5,L-2DLDA,0.271875
2.4,5,2DLDA,0.509375
2.4,6,L-2DLDA,0.328125
2.4,6,2DLDA,0.46562499999999996
2.4,7,L-2DLDA,0.06874999999999998
2.4,7,2DLDA,0.453125
2.4,8,L-2DLDA,0.20937499999999998
2.4,8,2DLDA,0.48750000000000004
2.4,9,L-2DLDA,0.13437500000000002
2.4,9,2DLDA,0.49687499999999996
2.4,10,L-2DLDA,0.30625
2.4,10,2DLDA,0.47187500000000004
2.4,11,L-2DLDA,0.09062499999999996
2.4,11,2DLDA,0.5
2.4,12,L-2DLDA,0.03749999999999998
2.4,12,2DLDA,0.484375
2.4,13,L-2DLDA,0.034375000000000044
2.4,13,2DLDA,0.484375
2.4,14,L-2DLDA,0.23750000000000004
2.4,14,2DLDA,0.49687499999999996
2.4,15,L-2DLDA,0.0
